label,rate,req_throughput,out_tok_s,ttft_p50_ms,ttft_p99_ms,e2e_p99_ms,hit_rate
sweep,3,3.02,386.78,469.41,11873.37,,0.7438
sweep,5,4.40,563.07,633.30,22474.23,,0.7337
sweep,7,4.99,637.98,740.28,31751.94,,0.7291
sweep,10,5.20,665.31,807.32,39133.86,,0.7273
